,spp,lake,state_date,temporal_date,date_match,threshold_date,troph_level,is_bimodal,mode1,mode2,modality_coef
1,phyto_density,Kasumigaura,1998.66666666667,NA,NA,NA,NA,FALSE,-0.0984972316462098,NA,0.377299210415254
2,phyto_density,Kinneret,1994.91666666667,1994.91666666667,TRUE,1994.91666666667,NA,FALSE,-0.268549711608606,NA,0.416967039017887
3,phyto_density,Loch Leven,NA,1998.91666666667,NA,NA,NA,FALSE,0.0533361779564387,NA,0.628122888612389
4,phyto_density,Lower Zurich,1986.75,2001,FALSE,NA,NA,FALSE,0.230314913186919,NA,0.227011734236175
5,phyto_density,Mendota,2010.08333333333,NA,NA,NA,NA,FALSE,0.283219148976671,-0.357544095786461,0.318139530293677
6,phyto_density,Monona,2007,2012.41666666667,FALSE,NA,NA,FALSE,0.0822377580220341,NA,0.304188632427225
7,phyto_density,Upper Zurich,1993,1993,TRUE,1993,NA,FALSE,-0.264618178549516,NA,0.417540369552291
8,phyto_density,Washington,1970.66666666667,1970.66666666667,FALSE,NA,NA,FALSE,-0.0198922627880553,NA,0.361706069213955
9,phyto_density,Windermere,NA,1988.08333333333,NA,NA,NA,FALSE,0.114098944483635,NA,0.63309114779902
10,zoo_density,Kasumigaura,2009.5,2009.5,TRUE,2009.5,NA,FALSE,-0.592293676818181,0.783444350121891,0.629591024090925
11,zoo_density,Kinneret,1985.16666666667,1995.25,FALSE,NA,NA,FALSE,-0.0272612720738867,NA,0.337984239117112
12,zoo_density,Loch Leven,NA,1996.25,NA,NA,NA,FALSE,0.40026491700617,NA,0.505050944546334
13,zoo_density,Lower Zurich,NA,NA,NA,NA,NA,FALSE,0.0995250229794138,NA,0.29916783131816
14,zoo_density,Mendota,2011,NA,NA,NA,NA,FALSE,0.316334686575227,-1.00410146066624,0.465468429253362
15,zoo_density,Monona,2011.25,2011.41666666667,FALSE,NA,NA,FALSE,-0.530793246979701,NA,0.46729695028468
16,zoo_density,Upper Zurich,NA,NA,NA,NA,NA,FALSE,0.291629392283844,-0.0755611463479227,0.289615270224915
17,zoo_density,Washington,1986.41666666667,NA,NA,NA,NA,FALSE,-0.0964674048462468,NA,0.444861486543994
18,zoo_density,Windermere,NA,1986.25,NA,NA,NA,FALSE,-0.0735548288672692,NA,0.2614791986942
